Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor
158747600,4400.0,193595.0,Peñaflor,Condominioloprado,3,3,96.0,175.0,1,10443357,Ricardo Home Propiedades
649422000,18000.0,791978.0,Providencia,Av.HernandodeAguirre3560,6,4,242.0,365.0,3,15341155,Corretajes Ruiz
220000000,6098.0,268293.0,Buin,GermánSandovalMiranda635,3,3,96.0,253.0,2,19171650,
129884400,3600.0,158396.0,PuenteAlto,SalardelNte.1316,3,3,90.0,150.0,3,13243544,Carolina Martinez Propiedades
130000000,3603.0,158537.0,IsladeMaipo,LaMadrugada,3,2,120.0,400.0,5,19270292,
378468710,10490.0,461547.0,Pudahuel,C.elCoihue,3,4,180.0,390.0,2,9385257,Tzanis Propiedades
287188840,7960.0,350230.0,Maipú,UnoSur,3,2,184.0,256.0,2,19253000,Tzanis Propiedades
155139700,4300.0,189195.0,Maipú,CalleSantaNidia,4,3,107.0,145.0,0,4003310,
148000000,4102.0,180488.0,Pudahuel,Loa,4,2,114.0,184.0,2,6700046,
120000000,3326.0,146341.0,PuenteAlto,AvenidaLasNievesOriente,3,3,84.0,120.0,1,10080601,Codalu Propiedades
85000000,2356.0,103659.0,Peñalolén,Calledos,3,2,71.0,112.0,1,13200507,Codalu Propiedades
125000000,3465.0,152439.0,Quilicura,PresidenteRamónBarrosLuco,3,2,68.0,89.0,0,16230140,Codalu Propiedades
360000000,9978.0,439024.0,LoBarnechea,Joss,3,1,120.0,378.0,3,19142793,Kvs properties
234513500,6500.0,285992.0,PuenteAlto,CaminodelAcueducto,5,3,107.0,220.0,1,18302905,Corvalan & Asociados
292239900,8100.0,356390.0,Macul,RamónCruzMontt,3,3,100.0,377.0,3,17716643,V&o Propiedades
120000000,3326.0,146341.0,QuintaNormal,NuevaImperial,2,1,96.0,247.0,1,11933894,Cgs Corretaje Inmobiliario Spa
52000000,1441.0,63415.0,PuenteAlto,CerroParedones,3,1,78.0,61.0,0,11988681,Cgs Corretaje Inmobiliario Spa
150000000,4158.0,182927.0,Macul,Toledo6788,4,2,80.0,149.0,1,18753140,Hoffmann & Asociados SpA
110000000,3049.0,134146.0,Maipú,ManuelTruccoGaete,3,2,76.0,120.0,1,18625673,Gesinprop Gestión Inmobiliaria
58000000,1608.0,70732.0,Maipú,Zapiga,3,1,74.0,61.0,0,14016488,Sgq Propiedades
85000000,2356.0,103659.0,Maipú,PárrocoAlfonsoAlvarado,3,2,70.0,60.0,1,19056602,Gesinprop Gestión Inmobiliaria
132770720,3680.0,161916.0,Buin,LosCiruelos2,3,2,65.0,113.0,1,19044702,
158206415,4385.0,192935.0,PuenteAlto,RíoPetrohué4843,3,2,63.0,179.0,0,15127115,
132193456,3664.0,161212.0,Maipú,CalleSantaNidia,4,3,160.0,162.0,2,16956248,Gesinprop Gestión Inmobiliaria
180000000,4989.0,219512.0,Santiago,Vichuquén,4,2,79.0,114.0,0,11791851,Corredora Fuentes Propiedades
75000000,2079.0,91463.0,Maipú,Asunción1552,2,1,45.0,60.0,1,9543603,Ferrada & vial Spa
90197500,2500.0,109997.0,ElBosque,Capricornio,2,2,63.0,185.0,2,15260042,Ferrada & vial Spa
