Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor
330987000,9300,412188,Providencia,Casapararemodelar/metrosalvador/plazadelaaviacion,5,3,146.0,213.0,1,9313447,Acom Propiedades
302159100,8490,376288,Peñalolén,LasPerdices/QuebradadeMacul,3,3,108.0,144.0,2,11036484,Vivaqui Propiedades
70000000,1967,87173,PuenteAlto,bomberobelarminomeza01747,2,1,49.0,79.0,2,10153316,Arsen Propiedades
72000000,2023,89664,Ñuñoa,GuillermoMana50metrosdePedrodeValdivia,3,1,60.0,85.0,0,9474037,Unne
110000000,3091,136986,LoPrado,RíoSnake7158,3,1,70.0,174.0,0,9456625,Unne
145741050,4095,181496,SanBernardo,FaldeosdeNos,3,3,75.0,134.0,2,6475140,Grupo AG Propiedades
228000000,6406,283935,SanMiguel,loovalleconprimeraavenida,3,2,125.0,300.0,5,9233861,Unne
58500000,1644,72852,ElBosque,Alejandroguzmanjuliocubarrubia,2,1,65.0,80.0,2,8598225,Mi Llave
423521000,11900,527423,Ñuñoa,Hermosacasaenventañuñoa4dorm.congranpatio519m,4,2,139.0,519.0,3,10743541,Easyprop
76000000,2135,94645,Lampa,Pje.SauceAmargo577,4,1,80.0,98.0,2,7051756,Cesar Galaz
260000000,7305,323786,Santiago,Copiapoconliracomercial,6,3,288.0,194.0,1,11390277,Unne
118000000,3316,146949,PuenteAlto,CardenalOviedoconSanCarlos,3,2,57.0,149.0,2,6456719,Unne
142000000,3990,176837,Lampa,Vallegrande,4,4,71.0,128.0,1,10733874,Movahome Corredores Integrados
800775000,22500,997229,Colina,Elmaizal,5,5,330.0,5000.0,8,9669350,Mi Llave
322160680,9052,401196,LaCisterna,LaCisterna,5,3,109.0,600.0,0,7853646,SyA Propiedades LTDA.
389710500,10950,485318,Colina,!!serecibenofertas!!/santaelena,3,3,214.0,500.0,0,5072130,Propiedades Jose Fco. Montalva y Cía. Ltda.
996520000,28000,1240996,Vitacura,Hualtatas/RafaelMaluenda,5,4,240.0,550.0,0,6868179,Propiedades Ricardo Vial y Cia. Ltda.
