Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor,poblacion,icvu,ingreso_promedio,Precio_CLP_Actual,Grupo
250000000,6929.0,304878.0,Independencia,Av.Independenciaconeinsteins,3,2,124.0,240.0,0,16931336,Unne,105000,52.1,850000,282599126,0
537577100,14900.0,655582.0,Colina,Condominioportalchamisero¡¡colegioslinconydunalastair¡¡,4,3,140.0,780.0,4,16931286,Easyprop,180000,53.1,920000,607696202,3
432948000,12000.0,527985.0,PenaloLen,Colegiodunalastair-pumahue,3,4,160.0,400.0,2,16930482,Cata Brochet,260000,52.8,870000,489419760,3
720858420,19980.0,879096.0,Vitacura,Lashaultatas/colegioaleman,4,4,175.0,269.0,3,16930457,Cata Brochet,85000,78.5,3200000,814883900,3
667461500,18500.0,813977.0,Vitacura,Colegiomanquehue-sanestebanestadiocroata,4,4,180.0,250.0,2,16930436,Cata Brochet,85000,78.5,3200000,754522130,3
640402250,17750.0,780978.0,Vitacura,ColegioAleman-GeronimodeAlderete,5,4,180.0,280.0,2,16930398,Cata Brochet,85000,78.5,3200000,723933395,3
594942710,16490.0,725540.0,Vitacura,Padrehurtado-lastranqueras,4,4,180.0,280.0,1,16930377,Cata Brochet,85000,78.5,3200000,672544320,3
790130100,21900.0,963573.0,LoBarnechea,Santiagocollege-colegioeverest,4,4,400.0,260.0,2,16930336,Cata Brochet,120000,74.8,2600000,893191062,3
790130100,21900.0,963573.0,LoBarnechea,Colegiomontetabor-jardini.Rainbow,4,4,170.0,500.0,2,16930301,Cata Brochet,120000,74.8,2600000,893191062,3
328318900,9100.0,400389.0,PenaloLen,FranciscoOtta/Av.Consistorial,4,3,112.0,222.0,2,16930219,Unne,260000,52.8,870000,371143318,3
194826600,5400.0,237593.0,Quilicura,CYQuilicura/ColegioManquecuraloCampino,4,3,113.0,103.0,2,16929914,Nieto & Stone Propiedades,250000,47.5,780000,220238892,3
523145500,14500.0,637982.0,LasCondes,GeneralBlanche,5,5,202.0,192.0,0,16928168,Unne,310000,76.2,2800000,591382210,3
324350210,8990.0,395549.0,LaFlorida,RojasMagallanes,5,4,140.0,312.0,2,16927763,Easyprop,400000,53.6,950000,366656970,3
155000000,4296.0,189024.0,Macul,MaculconPurranque,3,1,90.0,170.0,0,16927728,Propital,135000,56.2,980000,175212274,0
195000000,5405.0,237805.0,PuenteAlto,RamonBarrosLucoconSanPedro,8,2,120.0,600.0,0,16927723,Propital,650000,42.1,680000,220442817,3
158000000,4379.0,192683.0,Macul,AvenidaMacul,3,2,80.0,130.0,2,16927715,Propital,135000,56.2,980000,178597427,0
300000000,8315.0,365854.0,Nunoa,Coventry/Irarrázaval,4,2,87.0,144.0,1,16927686,Cata Brochet,250000,68.7,1700000,339127109,3
205650300,5700.0,250793.0,Lampa,AvdaLaMontaña/Galilea,4,3,120.0,210.0,2,16927463,Mauricio Pino Propiedades,120000,43.7,670000,232474386,3
829456210,22990.0,1011532.0,LasCondes,Beuron/RepublicadeHonduras,5,1,219.0,428.0,0,16927446,Viel Propiedades dos Ltda.,310000,76.2,2800000,937646690,3
609735100,16900.0,743579.0,LasCondes,Flandes-IsabelLaCatólica,6,4,296.0,680.0,3,16927320,Viel la Dehesa SPA,310000,76.2,2800000,689266162,2
133000000,3686.0,162195.0,SanBernardo,CerroYaretasLoHerrera,3,2,140.0,238.0,2,16927250,Unne,320000,40.5,620000,150333436,0
105000000,2910.0,128049.0,LaCisterna,Carvajal0437,4,1,107.0,167.0,0,16926201,Unne,100000,51.4,820000,118684292,0
537577100,14900.0,655582.0,Colina,Chicureo-PiedraRoja,4,1,271.0,517.0,2,16925596,Nexxos,180000,53.1,920000,607696202,0
815385400,22600.0,994372.0,LaReina,ÁlvaroCasanova/LaReinaAlta/Condominio,5,4,210.0,800.0,4,16925389,ProUrbe Manquehue,100000,70.3,1900000,921740548,2
140000000,3880.0,170732.0,PuenteAlto,GabrielaPoniente,5,3,300.0,150.0,2,16925066,Unne,650000,42.1,680000,158245722,3
53000000,1469.0,64634.0,PuenteAlto,Mulliri/PadreHurtado,3,1,71.0,60.0,1,16924982,Jorge Pablo Caro Propiedades,650000,42.1,680000,59913136,0
200238450,5550.0,244193.0,LaFlorida,JardínAlto/JardindelEdén,3,3,91.0,158.0,1,16924292,Nexxos,400000,53.6,950000,226356639,3
368005800,10200.0,448788.0,PenaloLen,MardeJava,5,4,139.0,323.0,2,16923615,Nexxos,260000,52.8,870000,416006796,3
591695600,16400.0,721580.0,LaFlorida,Brasil,4,3,160.0,1000.0,3,16923583,Nexxos,400000,53.6,950000,668873672,3
88000000,2439.0,107317.0,Maipu,ReySalomón,6,1,73.0,145.0,3,16917063,,580000,50.2,850000,99474566,0
75000000,2079.0,91463.0,Quilicura,MontePobeby,2,2,70.0,77.0,1,7877991,,250000,47.5,780000,84791973,0
210000000,5821.0,256098.0,Maipu,SanAlbertoHurtado2018,7,2,162.0,325.0,2,16902474,,580000,50.2,850000,237409369,3
149000000,4130.0,181707.0,LaPintana,AvenidaSantaRosaparadero43medioVillaPadreHurtadocalleosJesuitas02822,4,2,148.0,118.0,1,7719735,,200000,33.2,450000,168441967,0
68000000,1885.0,82927.0,Maipu,Caminojaquescosteaucaminomelipilla,3,2,55.0,80.0,0,13983169,Unne,580000,50.2,850000,76879687,0
155000000,4296.0,189024.0,PuenteAlto,Huar,3,2,81.0,85.0,2,16901068,Navacasa Propiedades,650000,42.1,680000,175212274,0
170000000,4712.0,207317.0,ElBosque,AntonioVaras/AvenidaPadreHurtado,3,1,110.0,327.0,1,11158376,ProUrbe Manquehue,185000,39.8,580000,192178826,0
135000000,3742.0,164634.0,SanBernardo,Casa2PisosenCondominioHarasdeNos,3,2,100.0,193.0,2,16893976,Corretajes Prosal,320000,40.5,620000,152617395,0
400476900,11100.0,488386.0,Providencia,Sectorpocuro,3,3,111.0,132.0,2,16893175,Brokers Inmobiliarios,155000,75.1,2400000,452713278,3
235595870,6530.0,287312.0,LasCondes,Villapaulharris/rioguadianaesquinaavdapadrehurtado,3,1,63.0,200.0,0,16890429,Brokers Inmobiliarios,310000,76.2,2800000,266325919,0
275000000,7622.0,335366.0,Nunoa,cercaIrarrazabalyAvgrecia,3,2,106.0,186.0,2,16889740,RUKAM SPA,250000,68.7,1700000,310863118,0
94000000,2605.0,114634.0,Macul,lagoparinacota,4,1,98.0,178.0,1,16889730,RUKAM SPA,135000,56.2,980000,106244873,0
165000000,4573.0,201220.0,Maipu,CaminoaMelipilla/CaminoLonquén,3,2,117.0,200.0,1,16886738,Mauricio Pino Propiedades,580000,50.2,850000,186509714,0
595303500,16500.0,725980.0,LoBarnechea,Condominio/avenidaladehesa,4,4,180.0,375.0,0,16886648,Francisco Vial Propiedades,120000,74.8,2600000,672952170,3
147923900,4100.0,180395.0,EstacionCentral,PlazuelaLosCerezos,4,2,120.0,171.0,2,16880465,,200000,46.8,720000,167218418,0
140708100,3900.0,171595.0,LoPrado,LasPetunias,3,1,62.0,187.0,1,16877306,,110000,38.4,550000,159061422,0
537577100,14900.0,655582.0,Providencia,Vendomaravillosacasaenprovidencia100%remodelada,4,2,120.0,140.0,2,15823648,,155000,75.1,2400000,607696202,3
234513500,6500.0,285992.0,LaFlorida,Casa3D/3BenMetroTrinidad-Callesconaccesosolopropietarios.,3,3,170.0,200.0,2,16860263,Unne,400000,53.6,950000,265102370,3
938054000,26000.0,1143968.0,PenaloLen,Lasraíces1600,4,5,340.0,2050.0,6,16858085,Todo Propiedades,260000,52.8,870000,1060409480,2
210000000,5821.0,256098.0,Recoleta,EmilianoZapata/DiagonalJoséMaríaCaro,5,2,181.0,252.0,0,16855920,Mauricio Pino Propiedades,180000,48.5,780000,237409369,3
645814100,17900.0,787578.0,LasCondes,SanCarlosdeApoquindo,6,5,210.0,340.0,0,16854974,Agustín Fuenzalida Propiedades,310000,76.2,2800000,730051142,2
151531800,4200.0,184795.0,Maipu,Santaelena,3,2,74.0,92.0,0,16854845,Nativo Propiedades,580000,50.2,850000,171296916,0
649422000,18000.0,791978.0,Colina,Chicureo,5,4,345.0,5000.0,0,16851957,,180000,53.1,920000,734129640,1
85000000,2356.0,103659.0,Maipu,Caribú,3,1,47.0,105.0,2,16675498,Cristy yessica cotal saavedra,580000,50.2,850000,96089413,0
241729300,6700.0,294792.0,Melipilla,Ugalde103,4,3,150.0,180.0,2,16839322,,120000,43.1,660000,273259366,3
175000000,4850.0,213415.0,Santiago,Escocia,3,2,120.0,180.0,2,16838896,,505000,62.4,1200000,197807153,0
190000000,5266.0,231707.0,SanJoaquin,VillaLasFlores,4,4,140.0,180.0,3,12358663,,110000,45.6,700000,214773705,3
119818359,3321.0,146120.0,Cerrillos,LosClásicos1340,3,1,60.0,242.0,1,16833318,,90000,48.7,760000,135446919,0
300000000,8315.0,365854.0,Renca,ArturoPrat,6,3,140.0,1375.0,4,16830591,Margarita Leiva Catalan,160000,40.8,600000,339127109,3
550204750,15250.0,670981.0,Colina,PiedraRoja,4,4,185.0,610.0,2,16829738,Easyprop,180000,53.1,920000,621970945,3
533969200,14800.0,651182.0,Colina,PiedraRoja,4,3,200.0,680.0,2,16829723,Easyprop,180000,53.1,920000,603617704,3
461811200,12800.0,563184.0,Colina,avenidaRabat,4,4,140.0,480.0,2,16829684,Easyprop,180000,53.1,920000,522047744,3
450987500,12500.0,549985.0,Colina,Chamisero,3,3,179.0,450.0,3,16829664,Easyprop,180000,53.1,920000,509812250,3
485262550,13450.0,591784.0,Colina,CercanoaLagunaPiedraRoja,3,4,140.0,426.0,6,16829647,Easyprop,180000,53.1,920000,548557981,3
323628630,8970.0,394669.0,Recoleta,PedroDonosoconcalleEnriqueDonoso,4,2,57.0,347.0,0,16828491,Mi Llave,180000,48.5,780000,365841271,3
315691250,8750.0,384989.0,PenaloLen,EntreAvenidaElValleyConsistorial,3,4,140.0,300.0,4,16828420,Mi Llave,260000,52.8,870000,356868575,3
595303500,16500.0,725980.0,LasCondes,MonjasInglesas/MetroLosDomínicos/Valdepeñas,3,3,220.0,388.0,3,16827274,Sucursal Cantagallo,310000,76.2,2800000,672952170,3
862288100,23900.0,1051571.0,LoBarnechea,SectorAguasClaras,4,4,240.0,800.0,4,16827176,Cata Brochet,120000,74.8,2600000,974761022,2
241729300,6700.0,294792.0,Pudahuel,Sevendecasausocomercialofamiliarciudaddelosvalles,4,3,105.0,204.0,0,16825610,Brokers Inmobiliarios,260000,44.3,710000,273259366,3
710756300,19700.0,866776.0,LoBarnechea,Puntadelaguilanorte/.,3,5,220.0,460.0,3,16820648,Propiedades Montalva Villarrica y Cia. Ltda.,120000,74.8,2600000,803464106,3
153263592,4248.0,186907.0,PuenteAlto,Sancarlos,5,3,95.0,170.0,3,16820598,Unne,650000,42.1,680000,173254595,3
1260961050,34950.0,1537757.0,LasCondes,SantaTeresadeÁvilaconSanJosédelaSierra,5,5,451.0,1250.0,5,16820140,Nexxos,310000,76.2,2800000,1425435051,2
1006604100,27900.0,1227566.0,Nunoa,Diagonalorienteconirarrazaval,4,2,231.0,784.0,4,16820020,Nexxos,250000,68.7,1700000,1137900942,3
50000000,1386.0,60976.0,Colina,NemesioAntúnez/C.PianistaRositaRenard,3,1,70.0,90.0,0,16819069,Procasa Adrián Ulloa Propiedades,180000,53.1,920000,56527982,0
1082370000,30000.0,1319963.0,LasCondes,CuartoCentenario,5,4,280.0,585.0,3,16818586,Cata Brochet,310000,76.2,2800000,1223549400,2
1147312200,31800.0,1399161.0,LoBarnechea,Laslomasdeladehesa,4,5,357.0,1003.0,6,16818561,Cata Brochet,120000,74.8,2600000,1296962364,2
1010212000,28000.0,1231966.0,LasCondes,LosDominicos,6,4,340.0,680.0,6,16818488,Cata Brochet,310000,76.2,2800000,1141979440,2
220000000,6098.0,268293.0,Macul,Quillin,4,3,194.0,200.0,2,16818469,Cata Brochet,135000,56.2,980000,248706808,3
358444865,9935.0,437128.0,Nunoa,NuñezdeArce-ChileEspaña,3,1,130.0,184.0,0,16818305,Grupo Premium Propiedades Santiago,250000,68.7,1700000,405198776,0
115452800,3200.0,140796.0,Quilicura,CanchaBiblioteca,3,2,90.0,215.0,4,16818075,Grupo Premium Propiedades Santiago,250000,47.5,780000,130511936,0
95000000,2633.0,115854.0,EstacionCentral,Losvallesconyelcho,4,2,93.0,180.0,3,16817517,Grupo Premium Propiedades Santiago,200000,46.8,720000,107386852,0
279900882,7758.0,341343.0,SanJoaquin,Vicuñamackenna/isabelriquelme,5,3,160.0,350.0,4,16814966,Mauricio Pino Propiedades,110000,45.6,700000,316409875,3
294043850,8150.0,358590.0,LasCondes,Apoquindoconwarrensmith,5,4,100.0,110.0,1,16814942,,310000,76.2,2800000,332397587,3
156943650,4350.0,191395.0,Colina,Estancialiray,3,3,72.0,72.0,0,16813366,Movahome Corredores Integrados,180000,53.1,920000,177414663,3
195000000,5405.0,237805.0,Nunoa,VillaLosAlerces,5,2,91.0,198.0,0,16806217,Sucursal El Bosque Sur,250000,68.7,1700000,220442817,3
386045300,10700.0,470787.0,Nunoa,Pucará,3,2,130.0,239.0,2,16806163,Nexxos,250000,68.7,1700000,436399286,0
195000000,5405.0,237805.0,LaFlorida,Av.VicuñaMackenna9971,3,2,80.0,200.0,3,16550692,,400000,53.6,950000,220442817,0
550000000,15244.0,670732.0,LasCondes,NustraSeñoradelRosario/ColegioAlemán,5,3,168.0,375.0,2,12886488,Unne,310000,76.2,2800000,621726235,3
194826600,5400.0,237593.0,Quilicura,Av.LasTorres&Madrid,3,2,84.0,137.0,1,16799087,Dimafe Propiedades,250000,47.5,780000,220238892,0
441967750,12250.0,538985.0,LaReina,Talinay,4,3,120.0,429.0,2,13944591,Berrios Zegers,100000,70.3,1900000,499616005,3
105000000,2910.0,128049.0,Renca,RamónCortésPonce,4,1,90.0,128.0,2,16788421,,160000,40.8,600000,118684292,0
280000000,7761.0,341463.0,Macul,Macul,4,2,94.0,340.0,1,16787900,,135000,56.2,980000,316532230,3
86300968,2392.0,105245.0,ElBosque,pasajediegoportales771,6,2,78.0,84.0,0,13344321,,185000,39.8,580000,97557672,3
360000000,9978.0,439024.0,QuintaNormal,NuevaExtremadura5443,8,2,321.0,474.0,6,16782357,,130000,47.2,750000,406952530,3
380000000,10532.0,463415.0,SanMiguel,SanIgnacioconArcangel,4,3,100.0,296.0,4,16779935,Unne,120000,55.3,900000,429547409,3
80000000,2217.0,97561.0,PadreHurtado,Eltrébol,2,1,70.0,90.0,0,16778979,Unne,65000,42.3,640000,90420301,0
631382500,17500.0,769979.0,LasCondes,Avda.Apoquindo,3,2,250.0,590.0,3,16778409,ProUrbe Manquehue,310000,76.2,2800000,713737150,3
75000000,2079.0,91463.0,PuenteAlto,CasaPuenteAlto,4,1,100.0,59.0,1,16778334,Easyprop,650000,42.1,680000,84791973,0
152109064,4216.0,185499.0,LaFlorida,santaclaraesquinatrinidad,4,2,119.0,199.0,2,16777251,Mi Llave,400000,53.6,950000,171949476,0
216113210,5990.0,263553.0,Huechuraba,avenidaLoslibertadores7000,3,3,86.0,50.0,0,16776770,Unne,110000,49.3,800000,244302030,3
92001450,2550.0,112197.0,PuenteAlto,Nou//excelentecasapotencialcomercialpasosmalltobalaba,3,1,60.0,90.0,1,16776661,,650000,42.1,680000,104001699,0
80000000,2217.0,97561.0,CerroNavia,Pasajeellaurel,3,1,72.0,86.0,0,16776461,Unne,160000,36.1,500000,90420301,0
85000000,2356.0,103659.0,Maipu,Villadoncristóbal,4,2,76.0,81.0,0,16776317,,580000,50.2,850000,96089413,0
158386810,4390.0,193155.0,PuenteAlto,Mapulemu,3,2,70.0,142.0,1,16774865,Unne,650000,42.1,680000,179046062,0
612621420,16980.0,747099.0,Colina,Excelenteoportunidad!condominiolosbosques-piedraroja,6,4,350.0,1000.0,0,16773795,,180000,53.1,920000,692528960,2
1580260200,43800.0,1927147.0,LoBarnechea,Losjuglares-PedroLiraUrquieta,6,6,427.0,1139.0,3,16768279,Viel la Dehesa SPA,120000,74.8,2600000,1786382124,2
230905600,6400.0,281592.0,Huechuraba,Mtsantamarta/bertacorrea,4,4,131.0,162.0,2,16767990,Nieto & Stone Propiedades,110000,49.3,800000,261023872,3
70000000,1940.0,85366.0,LaFlorida,Metrosanjosedelaestrella,2,1,60.0,62.0,1,16767619,Unne,400000,53.6,950000,79122861,0
47500000,1317.0,57927.0,PuenteAlto,Av.Chiloe/Quellon,2,2,45.0,61.0,0,16767547,Propiedades Centro Santiago SPA,650000,42.1,680000,53713819,0
124472550,3450.0,151796.0,SanBernardo,PasajeMaqui2970,3,2,74.0,100.0,2,16766137,Propital,320000,40.5,620000,140708181,0
793738000,22000.0,967973.0,Providencia,MetroFranciscoBilbao/Amapolas,9,6,422.0,480.0,0,16765891,Sucursal El Bosque Sur,155000,75.1,2400000,897269560,2
429340100,11900.0,523585.0,PenaloLen,Carloscasanuevaconjosearrieta,4,4,180.0,280.0,2,16765401,Unne,260000,52.8,870000,485341262,3
306671500,8500.0,373990.0,PenaloLen,ElValle/13Oriente,4,4,145.0,285.0,1,16764557,Vivaqui Propiedades,260000,52.8,870000,346672330,3
480000000,13304.0,585366.0,Nunoa,Av.Grecia,5,3,240.0,348.0,5,16763436,Vivax,250000,68.7,1700000,542603374,3
123750970,3430.0,150916.0,PuenteAlto,Troncalsanfrancisco,3,2,82.0,120.0,0,16762764,Brokers Inmobiliarios,650000,42.1,680000,139892481,0
123000000,3409.0,150000.0,Maipu,Cordilleradelosandesconjorgealessandri,3,2,70.0,100.0,1,16761744,Brokers Inmobiliarios,580000,50.2,850000,139035997,0
240000000,6652.0,292683.0,PuenteAlto,HaciendaelPeñon,4,3,118.0,350.0,2,16761232,Easyprop,650000,42.1,680000,271301687,3
360790000,10000.0,439988.0,LaFlorida,LaFlorida,4,2,128.0,364.0,3,16759007,,400000,53.6,950000,407849800,3
73000000,2023.0,89024.0,LaFlorida,ElLibertador/SanJosédelaEstrella,3,2,78.0,73.0,0,16758766,Mi Llave,400000,53.6,950000,82508015,0
717972100,19900.0,875576.0,LoBarnechea,Lostrapenses,5,5,170.0,317.0,0,16758746,Propiedades Viel SpA,120000,74.8,2600000,811621102,2
681893100,18900.0,831577.0,Nunoa,EliecerParadaconHernandodeAguirre,3,4,160.0,530.0,5,16757535,Unne,250000,68.7,1700000,770836122,3
154454199,4281.0,188359.0,LaCisterna,Paulina8689,4,1,82.0,180.0,2,14181784,Rsa Gestión Inmobiliaria,100000,51.4,820000,174600499,0
110000000,3049.0,134146.0,LaFlorida,PasajeLosEvangelizadores1247,3,1,60.0,180.0,0,13062545,Mgh Solución Inmobiliaria,400000,53.6,950000,124353404,0
490000000,13581.0,597561.0,LasCondes,RíoGuadiana9220,6,4,280.0,120.0,2,16729918,,310000,76.2,2800000,553900813,3
155000000,4296.0,189024.0,Maipu,SanAlbertoHurtado,4,3,110.0,253.0,2,6509977,,580000,50.2,850000,175212274,3
974133000,27000.0,1187967.0,LoBarnechea,CaminoElHuinganal,6,5,658.0,2428.0,0,16666737,,120000,74.8,2600000,1101194460,2
1298844000,36000.0,1583956.0,LoBarnechea,Huinganal,6,6,409.0,710.0,5,16714838,Invictus Spa,120000,74.8,2600000,1468259280,2
102000000,2827.0,124390.0,ElBosque,VentaCasa3DormitoriosElBosque,3,1,78.0,180.0,0,16713873,Invierte Propiedades,185000,39.8,580000,115299138,0
710756300,19700.0,866776.0,LoBarnechea,CaminoPuntadeAguila/ColegioEverest,4,5,220.0,460.0,3,16713678,Viel la Dehesa SPA,120000,74.8,2600000,803464106,2
539381050,14950.0,657782.0,Providencia,EliserParada/HernandodeAguirre,5,3,178.0,412.0,0,16712877,Luz Godoy Propiedades,155000,75.1,2400000,609735451,3
974133000,27000.0,1187967.0,Providencia,RicardoMattePerez/Salvador,6,4,420.0,792.0,3,16711801,Vivax,155000,75.1,2400000,1101194460,2
207454250,5750.0,252993.0,Huechuraba,Ampliacasaenconsolidadobarriodehuechuraba.,3,4,115.0,180.0,0,16710529,Brokers Inmobiliarios,110000,49.3,800000,234513635,3
