Price_UF,Comuna,Dorms,Baths,Built Area,Total Area,Parking,Realtor,UF_m2,log_price,log_area
8100.0,Macul,3,3,100.0,377.0,3,V&o Propiedades,81.0,8.9996195,5.9322453
3326.0,QuintaNormal,2,1,96.0,247.0,1,Cgs Corretaje Inmobiliario Spa,34.645832,8.109526,5.5093884
4158.0,Macul,4,2,80.0,149.0,1,Hoffmann & Asociados SpA,51.975,8.332789,5.0039463
3049.0,Maipú,3,2,76.0,120.0,1,Gesinprop Gestión Inmobiliaria,40.11842,8.022569,4.787492
2356.0,Maipú,3,2,70.0,60.0,1,Gesinprop Gestión Inmobiliaria,33.657143,7.7647204,4.0943446
3680.0,Buin,3,2,65.0,113.0,1,Desconocido,56.615383,8.210668,4.727388
3664.0,Maipú,4,3,160.0,162.0,2,Gesinprop Gestión Inmobiliaria,22.9,8.20631,5.0875964
2079.0,Maipú,2,1,45.0,60.0,1,Ferrada & vial Spa,46.2,7.6396422,4.0943446
2500.0,ElBosque,2,2,63.0,185.0,2,Ferrada & vial Spa,39.68254,7.824046,5.220356
3603.0,Maipú,3,2,100.0,171.0,1,Gesinprop Gestión Inmobiliaria,36.03,8.189522,5.1416636
9380.0,Pudahuel,4,3,160.0,400.0,2,Tzanis Propiedades,58.625,9.146335,5.9914646
2938.0,PadreHurtado,3,2,60.0,157.0,2,Essan,48.966667,7.985484,5.056246
3936.0,ElBosque,4,3,242.0,349.0,1,Desconocido,16.264463,8.277921,5.855072
3770.0,SanBernardo,3,3,92.0,148.0,1,G A M P. Propiedades,40.97826,8.23483,4.9972124
4019.0,SanBernardo,2,1,82.0,317.0,2,Balance,49.012196,8.298788,5.7589016
3151.0,LaFlorida,4,2,68.0,100.0,1,Recio Gestión Inmobiliaria Ltda,46.338234,8.055475,4.6051702
3350.0,Maipú,3,2,62.0,159.0,1,Rosario,54.032257,8.116715,5.0689044
14000.0,Conchalí,6,3,275.0,600.0,6,Hernán Arriagada,50.909092,9.546813,6.3969297
3742.0,Peñalolén,4,2,138.0,250.0,1,Desconocido,27.115942,8.227376,5.521461
7220.0,QuintaNormal,4,3,198.0,354.0,1,C & C Consultores Jurídico & Corredores Asociados,36.464645,8.88461,5.869297
12000.0,LaReina,4,3,250.0,215.0,1,Puntoinmobiliario.cl,48.0,9.392662,5.370638
3580.0,Maipú,4,3,83.0,115.0,1,Desconocido,43.13253,8.183118,4.744932
3603.0,EstaciónCentral,3,1,77.0,171.0,2,Sp Rios Propiedades,46.79221,8.189522,5.1416636
8000.0,Buin,3,3,118.0,366.0,2,V&o Propiedades,67.79661,8.987197,5.902633
11000.0,Peñalolén,4,4,168.0,283.0,2,V&o Propiedades,65.47619,9.305651,5.645447
2217.0,LaFlorida,2,1,53.0,60.0,1,Balance,41.83019,7.7039104,4.0943446
12500.0,LasCondes,3,3,95.0,269.0,2,Bao Propiedades,131.57895,9.433484,5.5947113
8640.0,SanBernardo,3,1,120.0,540.0,3,Desconocido,72.0,9.0641575,6.291569
6791.0,SanJoaquín,6,3,140.0,436.0,2,Desconocido,48.50714,8.823354,6.0776424
4906.0,Pudahuel,3,2,83.0,119.0,2,Consejo Hpotecario ltda,59.108433,8.498215,4.7791233
2529.0,SanBernardo,3,2,60.0,100.0,3,Patricia Propiedades,42.15,7.8355794,4.6051702
7036.0,Pudahuel,3,3,108.0,226.0,2,Punto Exacto Corredora de Propiedades Ltda.,65.14815,8.858795,5.420535
1400.0,Colina,2,1,57.0,82.0,1,Desconocido,24.561403,7.2442274,4.406719
4400.0,Lampa,3,3,84.0,133.0,2,Behouse,52.38095,8.389359,4.890349
3298.0,PuenteAlto,3,2,90.0,150.0,1,Carolina Martinez Propiedades,36.644444,8.101071,5.0106354
29000.0,Providencia,5,4,200.0,825.0,4,Lorena Bavestrello,145.0,10.275051,6.7153835
4591.0,PuenteAlto,3,2,89.0,142.0,3,Bissac,51.58427,8.431853,4.955827
16500.0,LaReina,4,3,165.0,550.0,8,Desconocido,100.0,9.711116,6.3099184
3603.0,PuenteAlto,3,3,70.0,110.0,2,Puquén Propiedades,51.471428,8.189522,4.7004805
4989.0,Peñalolén,2,1,63.0,150.0,1,Corredora Fuentes Propiedades,79.190475,8.514991,5.0106354
3807.0,LaFlorida,3,2,84.0,104.0,2,Bissac,45.32143,8.2445965,4.644391
4650.0,PuenteAlto,5,3,134.0,149.0,1,Corvalan & Asociados,34.701492,8.444622,5.0039463
8570.0,Pudahuel,3,3,110.0,407.0,2,Promoción Inmobiliaria,77.90909,9.056023,6.0088134
6800.0,Pudahuel,4,3,108.0,235.0,3,Promoción Inmobiliaria,62.962963,8.824677,5.4595857
3939.0,ElBosque,4,3,242.0,349.0,1,Desconocido,16.27686,8.278682,5.855072
3326.0,PuenteAlto,3,2,85.0,150.0,2,Carolina Martinez Propiedades,39.129414,8.109526,5.0106354
3534.0,QuintaNormal,4,1,69.0,200.0,2,Paula Vivanco Arenas,51.217392,8.170186,5.2983174
3880.0,LaFlorida,3,2,68.0,145.0,3,Silvana Guillen Propiedades,57.058823,8.263591,4.9767337
8711.0,LaReina,4,3,110.0,128.0,3,Desconocido,79.19091,9.072342,4.8520303
7567.0,Peñalolén,4,2,250.0,500.0,4,Helena de Troya,30.268,8.931552,6.214608
2080.0,QuintaNormal,4,1,87.0,150.0,1,Desconocido,23.908047,7.6401234,5.0106354
6209.0,LaCisterna,4,2,118.0,165.0,1,Desconocido,52.618645,8.733755,5.1059456
15500.0,LasCondes,4,3,160.0,252.0,2,V&o Propiedades,96.875,9.648595,5.529429
8592.0,Pudahuel,5,4,155.0,395.0,2,Desconocido,55.43226,9.058587,5.9788857
4410.0,EstaciónCentral,3,2,98.0,150.0,2,Rsa Gestión Inmobiliaria,45.0,8.39163,5.0106354
3603.0,Pudahuel,3,2,62.0,180.0,1,Mgh Solución Inmobiliaria,58.112904,8.189522,5.192957
8600.0,Colina,3,3,118.0,350.0,3,Behouse,72.881355,9.059518,5.857933
3790.0,PuenteAlto,3,2,68.0,168.0,3,Desconocido,55.735294,8.240121,5.123964
3990.0,Maipú,4,2,139.0,130.0,2,Desconocido,28.705036,8.291547,4.8675346
3465.0,Maipú,5,3,134.0,89.0,1,Desconocido,25.85821,8.150468,4.4886365
3465.0,Maipú,3,3,149.0,119.0,1,Desconocido,23.255033,8.150468,4.7791233
4435.0,Maipú,5,2,138.0,200.0,2,Desconocido,32.13768,8.397283,5.2983174
5200.0,Peñaflor,3,2,126.0,443.0,2,Desconocido,41.26984,8.556414,6.0935698
3326.0,LaFlorida,4,1,82.0,114.0,1,Desconocido,40.560974,8.109526,4.7361984
2356.0,PuenteAlto,3,2,56.0,110.0,3,Desconocido,42.07143,7.7647204,4.7004805
6390.0,SanBernardo,3,2,83.0,750.0,6,Propiedades Abarca,76.98795,8.762489,6.6200733
4550.0,Quilicura,3,2,88.0,128.0,3,Propital,51.704544,8.422882,4.8520303
2317.0,SanBernardo,4,1,83.0,76.0,1,Balance,27.915663,7.7480288,4.3307333
4573.0,PuenteAlto,3,3,105.0,130.0,2,Alessandro Matteucci Cajas,43.55238,8.427925,4.8675346
7400.0,Buin,4,3,110.0,256.0,4,Desconocido,67.27273,8.909235,5.5451775
1815.0,Paine,2,1,54.0,97.0,1,Desconocido,33.61111,7.503841,4.574711
16000.0,Independencia,4,2,186.0,527.0,3,Cadepar Propiedades SpA,86.02151,9.680344,6.2672005
2772.0,PedroAguirreCerda,4,1,154.0,196.0,1,Desconocido,18.0,7.9273243,5.278115
8287.0,LaFlorida,4,4,177.0,259.0,3,Punto Exacto Corredora de Propiedades Ltda.,46.81921,9.022444,5.556828
5821.0,SanMiguel,4,2,112.0,154.0,2,Desconocido,51.973213,8.669228,5.0369525
3187.0,Maipú,4,2,85.0,110.0,2,Desconocido,37.494118,8.066835,4.7004805
4050.0,SanBernardo,4,3,110.0,180.0,2,Rodrigo Cañas de la Cerda Propiedades,36.81818,8.306472,5.192957
3603.0,SanJoaquín,3,1,88.0,200.0,1,Desconocido,40.94318,8.189522,5.2983174
